,x1,p,cond
0,0.999999,0.95,18.54
1,0.999999,1.24,18.66
2,0.999999,1.62,18.77
3,0.999999,1.94,18.92
4,0.999999,2.28,19.04
5,0.999999,2.62,19.19
6,0.999999,2.98,19.36
7,0.999999,3.34,19.45
8,0.999999,3.78,19.66
9,0.999999,4.19,19.81
10,0.999999,4.6,20.02
11,0.999999,4.97,20.16
12,0.999999,5.24,20.29
13,0.999999,5.77,20.47
14,0.999999,6.25,20.67
15,0.999999,6.69,20.87
16,0.999999,7.21,21.12
17,0.999999,7.61,21.3
18,0.999999,7.94,21.45
19,0.999999,8.39,21.64
20,0.999999,8.77,21.9
21,0.999999,9.12,22.0
22,0.999999,9.34,22.09
23,0.999999,9.72,22.36
24,0.999999,10.11,22.43
25,0.999999,10.49,22.71
26,0.999999,10.86,22.89
27,1e-06,1.01,10.04
28,1e-06,1.46,10.19
29,1e-06,1.94,10.37
30,1e-06,2.46,10.55
31,1e-06,2.97,10.7
32,1e-06,3.39,10.91
33,1e-06,3.96,11.18
34,1e-06,4.44,11.36
35,1e-06,4.93,11.6
36,1e-06,5.52,11.86
37,1e-06,6.03,12.07
38,1e-06,6.55,12.35
39,1e-06,7.07,12.62
40,1e-06,7.62,12.96
41,1e-06,8.24,13.13
42,1e-06,8.69,13.48
43,1e-06,9.48,13.93
44,0.4088,1.09,12.81
45,0.4088,1.51,12.92
46,0.4088,1.99,13.1
47,0.4088,2.72,13.46
48,0.4088,3.29,13.57
49,0.4088,3.91,13.77
50,0.4088,4.84,14.15
51,0.4088,5.48,14.38
52,0.4088,6.33,14.76
53,0.4088,7.16,15.15
54,0.4088,8.21,15.68
55,0.7059,1.51,15.54
56,0.7059,2.1,15.73
57,0.7059,2.46,15.89
58,0.7059,3.16,16.13
59,0.7059,3.7,16.34
60,0.7059,4.26,16.57
61,0.7059,4.93,16.79
62,0.7059,5.71,17.1
63,0.7059,6.59,17.44
64,0.7059,7.62,17.92
