,T,P,D
0,171,50000000,1.39e-07
1,213,50000000,1.96e-07
2,243,50000000,2.33e-07
3,274,50000000,2.63e-07
4,171,75000000,1.02e-07
5,213,75000000,1.37e-07
6,243,75000000,1.74e-07
7,274,75000000,1.97e-07
8,296,75000000,2.14e-07
9,334,75000000,2.61e-07
10,171,100000000,8.5e-08
11,213,100000000,1.18e-07
12,243,100000000,1.44e-07
13,274,100000000,1.59e-07
14,296,100000000,1.77e-07
15,334,100000000,2.07e-07
16,372,100000000,2.57e-07
17,171,125000000,7.5e-08
18,213,125000000,1.02e-07
19,243,125000000,1.23e-07
20,274,125000000,1.37e-07
21,296,125000000,1.5e-07
22,334,125000000,1.84e-07
23,372,125000000,2.2e-07
24,171,150000000,6.6e-08
25,213,150000000,9.1e-08
26,243,150000000,1.09e-07
27,274,150000000,1.23e-07
28,296,150000000,1.35e-07
29,334,150000000,1.6e-07
30,372,150000000,1.95e-07
31,171,175000000,6e-08
32,213,175000000,8.3e-08
33,243,175000000,1e-07
34,274,175000000,1.14e-07
35,296,175000000,1.23e-07
36,334,175000000,1.45e-07
37,372,175000000,1.71e-07
38,171,200000000,5.6e-08
39,213,200000000,7.6e-08
40,243,200000000,9.2e-08
41,274,200000000,1.06e-07
42,296,200000000,1.14e-07
43,334,200000000,1.35e-07
44,372,200000000,1.57e-07
